date,Chris Evans,Mark Ruffallo,Daniel Craig
2013-01-06,44,0,70
2013-01-13,54,0,79
2013-01-20,65,98,48
2013-01-27,48,0,45
2013-02-03,50,0,42
2013-02-10,54,0,82
2013-02-17,44,0,100
2013-02-24,100,0,89
2013-03-03,54,0,75
2013-03-10,45,0,70
2013-03-17,37,0,69
2013-03-24,50,0,61
2013-03-31,42,0,60
2013-04-07,45,0,41
2013-04-14,70,0,43
2013-04-21,54,0,33
2013-04-28,73,0,23
2013-05-05,64,0,30
2013-05-12,84,0,30
2013-05-19,66,0,36
2013-05-26,64,0,28
2013-06-02,55,100,34
2013-06-09,72,0,24
2013-06-16,47,0,39
2013-06-23,57,0,26
2013-06-30,81,0,31
2013-07-07,65,0,35
2013-07-14,58,100,38
2013-07-21,72,99,37
2013-07-28,53,0,35
2013-08-04,46,0,27
2013-08-11,52,0,27
2013-08-18,48,0,34
2013-08-25,49,0,29
2013-09-01,46,0,29
2013-09-08,45,0,36
2013-09-15,42,0,27
2013-09-22,31,0,26
2013-09-29,30,0,23
2013-10-06,33,0,23
2013-10-13,43,0,26
2013-10-20,59,0,29
2013-10-27,50,0,27
2013-11-03,39,0,24
2013-11-10,58,0,39
2013-11-17,44,0,38
2013-11-24,42,0,49
2013-12-01,43,0,29
2013-12-08,45,0,32
2013-12-15,34,0,25
2013-12-22,46,0,40
2013-12-29,54,0,39
